id	isbn	title	authors	publication_year	
1407	60887184	The Last Kingdom	Bernard Cornwell	2004	
1408	60887303	Pretty Little Liars	Sara Shepard	2006	
1409	60887338	Flawless	Sara Shepard	2007	
1410	60887370	Perfect	Sara Shepard	2007	
1411	60887397	Unbelievable	Sara Shepard	2008	
1412	60888628	The Lords of the North	Bernard Cornwell	2006	
1413	60888644	Sword Song	Bernard Cornwell	2007	
1414	60889578	SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance	Steven D. Levitt, Stephen J. Dubner	2009	
1415	60890312	Wintersmith	Terry Pratchett	2006	
1416	60890681	The Last Anniversary	Liane Moriarty	2006	
1417	60891270	Attack of the Fiend (The Last Apprentice #4)	Joseph Delaney, Patrick  Arrasmith	2007	
1418	60891548	On Writing Well: The Classic Guide to Writing Nonfiction	William Zinsser	1976	
1419	60891564	Eaters of the Dead	Michael Crichton	1976	
1420	60892013	The Sight	Erin Hunter	2007	
1421	60892994	A Canticle for Leibowitz	Walter M. Miller Jr.	1959	
1422	60894083	Genome: The Autobiography of a Species in 23 Chapters	Matt Ridley	1999	
1423	60897848	Vinegar Hill (P.S.)	A. Manette Ansay	1994	
1424	60898488	Retrato en sepia	Isabel Allende, Margaret Sayers Peden	2000	
1425	60898526	Brave New World Revisited 	Aldous Huxley	1958	
1426	60899190	PostSecret: Extraordinary Confessions from Ordinary Lives	Frank Warren	2005	
1427	60899220	Kitchen Confidential: Adventures in the Culinary Underbelly	Anthony Bourdain	2000	
1428	60899689	April 1865: The Month That Saved America (P.S.)	Jay Winik	2001	
1429	60920084	The Lost Continent: Travels in Small-Town America	Bill Bryson	1989	
1430	60920432	Flow: The Psychology of Optimal Experience	Mihaly Csikszentmihalyi	1990	
1431	60921145	Animal Dreams	Barbara Kingsolver	1990	
1432	60922249	Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life	Thomas  Moore	1988	
1433	60927488	"A Return to Love: Reflections on the Principles of ""A Course in Miracles"""	Marianne Williamson	1992	
1434	60928417	La lenteur	Milan Kundera, Linda Asher	1995	
1435	60929782	Black Boy: A Record of Youth and Childhood	Richard Wright, Jerry W. Ward Jr.	1945	
1436	60929871	Brave New World	Aldous Huxley	1932	
1437	60930314	L'identité	Milan Kundera, Linda Asher	1997	
1438	60931728	Ariel	Sylvia Plath	1965	
1439	60931736	The Prime of Miss Jean Brodie 	Muriel Spark	1961	
1440	60931809	The Map That Changed the World: William Smith and the Birth of Modern Geology	Simon Winchester	2001	
1441	60932147	Kniha smíchu a zapomnění	Milan Kundera, Aaron Asher	1979	
1442	60932309	Sharpe's Tiger	Bernard Cornwell	1997	
1443	60935472	Old Yeller	Fred Gipson	1956	
1444	60935499	Amadeus	Peter Shaffer	1979	
1445	60935766	Harlequin	Bernard Cornwell	2000	
1446	60935782	Vagabond	Bernard Cornwell	2002	
1447	60938110	The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients	Irvin D. Yalom, Nicola Ferguson	2001	
1448	60955228	Under the Volcano	Malcolm Lowry	1947	
1449	60958022	Five Quarters of the Orange	Joanne Harris	2001	
1450	60958332	The Language Instinct: How the Mind Creates Language	Steven Pinker	1994	
1451	60958340	Love's Executioner & Other Tales of Psychotherapy	Irvin D. Yalom	1989	
1452	60959037	Prodigal Summer	Barbara Kingsolver	2000	
1453	60959517	Elizabeth: The Struggle for the Throne	David Starkey	2000	
1454	60959681	The Dancing Wu Li Masters: An Overview of the New Physics	Gary Zukav	1979	
1455	60974990	Savage Inequalities: Children in America's Schools	Jonathan Kozol	1991	
1456	60975776	Jesus' Son: Stories	Denis Johnson	1992	
1457	60987049	Microserfs	Douglas Coupland	1995	
1458	60987103	Wicked: The Life and Times of the Wicked Witch of the West	Gregory Maguire, Douglas Smith	1995	
1459	60987324	Girlfriend in a Coma	Douglas Coupland	1998	
1460	60987464	The Long Hard Road Out of Hell	Marilyn Manson, Neil Strauss	1998	
1461	60987510	These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories	Nancy E. Turner	1998	
1462	60987529	Confessions of an Ugly Stepsister	Gregory Maguire	1999	
1463	60987561	I Know This Much Is True 	Wally Lamb	1998	
1464	60988649	Lost	Gregory Maguire, Douglas Smith	2001	
1465	60988657	Mirror Mirror	Gregory Maguire	2003	
1466	60989157	The Dirt: Confessions of the World's Most Notorious Rock Band	Tommy Lee, Vince Neil, Nikki Sixx, Neil Strauss, Mick Mars, Tommy Lee	2001	
1467	60997028	Život je jinde	Milan Kundera, Aaron Asher	1969	
1468	61000019	The Blessing Way	Tony Hillerman	1970	
1469	61002828	The Hellbound Heart	Clive Barker	1986	
1470	61006629	Fatherland	Robert   Harris	1992	
1471	61007226	The Exorcist	William Peter Blatty	1971	
1472	61015725	Prey	Michael Crichton	2002	
1473	61015733	State of Fear	Michael Crichton	2004	
1474	61020001	The Awakening	L.J. Smith	1991	
1475	61020613	Witches Abroad	Terry Pratchett	1991	
1476	61020648	Guards! Guards!	Terry Pratchett	1989	
1477	61020656	Pyramids	Terry Pratchett	1989	
1478	61020664	Wyrd Sisters	Terry Pratchett	1988	
1479	61020672	Sourcery	Terry Pratchett	1988	
1480	61020680	Mort	Terry Pratchett	1987	
1481	61020702	The Light Fantastic	Terry Pratchett	1986	
1482	61031321	Thief of Time	Terry Pratchett	2001	
1483	61043494	Gaudy Night	Dorothy L. Sayers	1935	
1484	61043532	Clouds of Witness	Dorothy L. Sayers	1926	
1485	61043559	Murder Must Advertise	Dorothy L. Sayers	1933	
1486	61043575	Whose Body?	Dorothy L. Sayers	1923	
1487	61043583	Unnatural Death	Dorothy L. Sayers	1927	
1488	61051586	Carpe Jugulum	Terry Pratchett	1998	
1489	61053562	The Player of Games	Iain M. Banks	1988	
1490	61053716	Imajica	Clive Barker	1991	
1491	61054887	The Dispossessed	Ursula K. Le Guin	1974	
1492	61056901	Interesting Times	Terry Pratchett	1994	
1493	61059919	The Fury	L.J. Smith	1991	
1494	61059927	Dark Reunion	L.J. Smith	1991	
1495	61092037	The Fourth Estate	Jeffrey Archer	1996	
1496	61092193	Men at Arms	Terry Pratchett	1993	
1497	61093327	Low Country	Anne Rivers Siddons	1998	
1498	61094145	Imajica	Clive Barker	1991	
1499	61119067	The Complete Wreck (A Series of Unfortunate Events, Books 1-13)	Lemony Snicket, Brett Helquist	2006	
1500	61119725	From Head to Toe	Eric Carle	1997	
1501	61120065	Their Eyes Were Watching God	Zora Neale Hurston	1937	
1502	61120073	A Tree Grows In Brooklyn 	Betty  Smith	1943	
1503	61120081	To Kill a Mockingbird	Harper Lee	1960	
1504	61120251	Hija de la fortuna	Isabel Allende, Margaret Sayers Peden	1998	
1505	61120669	Papillon 	Henri Charrière	1969	
1506	61122092	Na margem do rio Piedra eu sentei e chorei	Paulo Coelho, Alan R. Clarke	1994	
1507	61122416	O Alquimista	Paulo Coelho, Alan R. Clarke	1988	
1508	61124265	Veronika decide morrer	Paulo Coelho, Margaret Jull Costa	1998	
1509	61128643	Lost & Found	Jacqueline Sheehan	2007	
1510	61128856	What The Dead Know	Laura Lippman	2007	
1511	61129739	The Art of Loving	Erich Fromm, Peter D. Kramer, Rainer Funk	1956	
1512	61129763	The Monkey Wrench Gang (Monkey Wrench Gang, #1)	Edward Abbey	1975	
1513	61131644	Firestar's Quest	Erin Hunter	2007	
1514	61132233	Dance with a Vampire (Vampire Kisses, #4)	Ellen Schreiber	2007	
1515	61134104	Bruiser	Neal Shusterman	2010	
1516	61138010	White Witch, Black Curse	Kim Harrison	2009	
1517	61138037	Black Magic Sanction	Kim Harrison	2010	
1518	61138061	Pale Demon	Kim Harrison	2011	
1519	61139378	Coraline	Neil Gaiman	2002	
1520	61140988	The Fury and Dark Reunion	L.J. Smith	2007	
1521	61142026	Stardust	Neil Gaiman	1999	
1522	61143316	Promise Not to Tell	Jennifer McMahon	2007	
1523	61144835	The Pale Rider	Bernard Cornwell	2005	
1524	61147931	Heart-Shaped Box	Joe Hill	2007	
1525	61147958	Horns	Joe Hill	2009	
1526	61147974	20th Century Ghosts	Joe Hill, Christopher Golden	2005	
1527	61148482	The Bridge Across Forever: A True Love Story	Richard Bach	1982	
1528	61148512	The Bell Jar	Sylvia Plath	1963	
1529	61150142	The Pact	Jodi Picoult	1998	
1530	61159174	The Known World	Edward P. Jones	2003	
1531	61160881	This Body of Death	Elizabeth  George	2010	
1532	61161535	Inés del alma mía	Isabel Allende, Margaret Sayers Peden	2006	
1533	61161640	Making Money	Terry Pratchett	2007	
1534	61161705	Unseen Academicals	Terry Pratchett	2009	
1535	61173398	Are You There, Vodka? It's Me, Chelsea	Chelsea Handler	2007	
1536	61176109	Power of Art	Simon Schama	2006	
1537	61177598	Women	Charles Bukowski	1978	
1538	61187844	The Post-Birthday World 	Lionel Shriver	2007	
1539	61214655	Wicked Lovely 	Melissa Marr	2007	
1540	61229695	Vampires are Forever	Lynsay Sands	2008	
1541	61229776	Vampire, Interrupted	Lynsay Sands	2008	
1542	61230839	The Secret Diaries of Miss Miranda Cheever	Julia Quinn	2007	
1543	61230944	The Last Oracle	James Rollins	2008	
1544	61231150	Skulduggery Pleasant	Derek Landy, Tom Percival	2007	
1545	61231428	Altar of Eden	James Rollins	2009	
1546	61232920	Forever Princess	Meg Cabot	2008	
1547	61234001	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	Steven D. Levitt, Stephen J. Dubner	2005	
1548	61238961	InterWorld	Neil Gaiman, Michael Reaves	2007	
1549	61240273	Belong to Me	Marisa de los Santos	2008	
1550	61240850	Anybody Out There?	Marian Keyes	2006	
1551	61240885	Playing with Fire	Derek Landy	2008	
1552	61245089	Halfway to the Grave	Jeaniene Frost	2007	
1553	61245097	One Foot in the Grave	Jeaniene Frost	2008	
1554	61251348	Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food	Jessica Seinfeld	2007	
1555	61256684	Waiter Rant: Thanks for the Tip-Confessions of a Cynical Waiter	The Waiter, Steve Dublanica	2008	
1556	61257052	Very Valentine	Adriana Trigiani	2009	
1557	61257095	The Shoemaker's Wife	Adriana Trigiani	2012	
1558	61259349	Secrets of a Summer Night	Lisa Kleypas	2004	
1559	61284203	Into the Wild	Erin Hunter	2003	
1560	61284394	Evernight	Claudia Gray	2008	
1561	61284408	Stargazer	Claudia Gray	2009	
1562	61284424	Afterlife	Claudia Gray	2011	
1563	61288853	The Coffin Club (Vampire Kisses, #5)	Ellen Schreiber	2008	
1564	61340634	Run	Ann Patchett	2007	
1565	61345660	The Luxe	Anna Godbersen	2007	
1566	61345695	Rumors	Anna Godbersen	2008	
1567	61345725	Envy	Anna Godbersen	2009	
1568	61351423	Slash	Slash, Anthony Bozza	2007	
1569	61351520	Call Me Irresistible	Susan Elizabeth Phillips	2010	
1570	61374229	The Story of Edgar Sawtelle	David Wroblewski	2008	
1571	61431621	The Lollipop Shoes	Joanne Harris	2007	
1572	61433012	Nation	Terry Pratchett	2008	
1573	61438294	What Every Body is Saying: An FBI Agent's Guide to Speed-Reading People	Joe Navarro, Marvin Karlins	2008	
1574	61448761	Gone	Michael  Grant	2008	
1575	61449067	Hunger 	Michael  Grant	2009	
1576	61449091	Lies	Michael  Grant	2010	
1577	61449121	Plague	Michael  Grant	2011	
1578	61449156	Fear	Michael  Grant	2012	
1579	61449180	Light	Michael  Grant	2013	
1580	61458570	Big Brother	Lionel Shriver	2013	
1581	61470856	Serena	Ron Rash	2008	
1582	61474096	Anathem	Neal Stephenson	2008	
1583	61477958	House of Many Ways	Diana Wynne Jones	2008	
1584	61493341	Telegraph Avenue	Michael Chabon	2012	
1585	61558222	The Fall	Guillermo del Toro, Chuck Hogan	2009	
1586	61558230	The Strain	Guillermo del Toro, Chuck Hogan	2009	
1587	61558265	The Night Eternal	Guillermo del Toro, Chuck Hogan	2011	
1588	61561630	City of Dragons	Robin Hobb	2011	
1589	61566128	Killer 	Sara Shepard	2009	
1590	61566152	Heartless	Sara Shepard	2010	
1591	61566179	Wanted	Sara Shepard	2010	
1592	61573132	Bright Shiny Morning	James Frey	2008	
1593	61579033	The Family Fang	Kevin    Wilson	2011	
1594	61583073	At Grave's End	Jeaniene Frost	2008	
1595	61583219	Destined for an Early Grave	Jeaniene Frost	2009	
1596	61583227	First Drop of Crimson	Jeaniene Frost	2010	
1597	61583251	The Happiness Project	Gretchen Rubin	2009	
1598	61626317	Splendor	Anna Godbersen	2009	
1599	61628018	Stolen Innocence: My Story of Growing Up in a Polygamous Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs	Elissa Wall, Lisa Pulitzer	2008	
1600	61655503	Sorgenfri	Jo Nesbø, Don Bartlett	2002	
1601	61658197	The Pioneer Woman Cooks: Recipes from an Accidental Ranch Wife	Ree Drummond	2008	
1602	61659223	Radiant Shadows	Melissa Marr	2010	
1603	61659258	Darkest Mercy	Melissa Marr	2011	
1604	61662690	The Summoning	Kelley Armstrong	2008	
1605	61662763	The Awakening	Kelley Armstrong	2009	
1606	61668036	Wings 	Aprilynne Pike	2009	
1607	61668060	Spells	Aprilynne Pike	2009	
1608	61668095	Illusions	Aprilynne Pike	2011	
1609	61668125	Destined	Aprilynne Pike	2012	
1610	61671355	The Secret Circle: The Captive Part II and The Power	L.J. Smith	2009	
1611	61689424	Love Bites (Vampire Kisses, #7)	Ellen Schreiber	2010	
1612	61692042	Canada	Richard Ford	2012	
1613	61701246	Ten Things We Did (and Probably Shouldn't Have) 	Sarah Mlynowski	2011	
1614	61706558	I'd Know You Anywhere	Laura Lippman	2010	
1615	61707803	Sex at Dawn: The Prehistoric Origins of Modern Sexuality	Christopher  Ryan, Cacilda Jethá	2010	
1616	61711527	Cinderella Ate My Daughter: Dispatches from the Frontlines of the New Girlie-Girl Culture	Peggy Orenstein	2011	
1617	61714305	Sandman Slim	Richard Kadrey	2009	
1618	61714321	Aloha from Hell	Richard Kadrey	2011	
1619	61718947	Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook	Anthony Bourdain	2010	
1620	61719544	American on Purpose	Craig Ferguson	2009	
1621	61720771	The Return: Nightfall	L.J. Smith	2009	
1622	61720852	The Vampire Diaries: The Return: Midnight	L.J. Smith	2011	
1623	61726818	Before I Fall	Lauren Oliver	2010	
1624	61726834	Delirium	Lauren Oliver	2011	
1625	61727660	The Mapping of Love and Death	Jacqueline Winspear	2010	
1626	61728918	The Carrie Diaries	Candace Bushnell	2010	
1627	61728934	Summer and the City	Candace Bushnell	2011	
1628	61728977	Act Like a Lady, Think Like a Man	Steve Harvey	2009	
1629	61730327	The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope	William Kamkwamba, Bryan Mealer	2009	
1630	61732370	The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe	Gayle Tzemach Lemmon	2011	
1631	61733636	Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime	John Heilemann, Mark Halperin	2010	
1632	61750441	O vencedor está só	Paulo Coelho	2008	
1633	61767581	L.A. Candy	Lauren Conrad	2009	
1634	61767603	Sugar and Spice	Lauren Conrad	2010	
1635	61767638	Sugar and Spice (L.A. Candy #3)	Lauren Conrad	2010	
1636	61767891	Does the Noise in My Head Bother You?	Steven Tyler	2011	
1637	61779725	Bite Me	Christopher Moore	2010	
1638	61779741	Sacré Bleu: A Comedy d'Art	Christopher Moore	2012	
1639	61779768	The Serpent of Venice	Christopher Moore	2014	
1640	61779784	Secondhand Souls	Christopher Moore	2015	
1641	61779814	The Body Finder	Kimberly Derting	2010	
1642	61779849	Desires of the Dead	Kimberly Derting	2011	
1643	61783161	Eternal Kiss of Darkness	Jeaniene Frost	2010	
1644	61783188	This Side of the Grave (Night Huntress, #5)	Jeaniene Frost	2011	
1645	61783196	One Grave at a Time (Night Huntress, #6)	Jeaniene Frost	2011	
1646	61784788	The Devil Colony	James Rollins	2010	
1647	61784796	Bloodline	James Rollins	2012	
1648	61797022	The Gathering	Kelley Armstrong	2011	
1649	61797057	The Calling	Kelley Armstrong	2012	
1650	61797081	The Rising	Kelley Armstrong	2013	
1651	61836923	Moonlight Mile 	Dennis Lehane	2010	
1652	61843407	Labor Day	Joyce Maynard	2009	
1653	61852058	Nine Rules to Break When Romancing a Rake	Sarah MacLean	2010	
1654	61869708	The Lying Game	Sara Shepard	2010	
1655	61869724	Never Have I Ever 	Sara Shepard	2011	
1656	61914177	Crush It!: Why Now Is the Time to Cash in on Your Passion	Gary Vaynerchuk	2009	
1657	61921262	Epic Fail	Claire LaZebnik	2011	
1658	61922315	Secret Daughter	Shilpi Somaya Gowda	2010	
1659	61928127	Beautiful Ruins	Jess Walter	2012	
1660	61929379	Pirate Latitudes	Michael Crichton	2009	
1661	61930059	Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal	Conor Grennan	2010	
1662	61931411	Dragon Haven	Robin Hobb	2010	
1663	61935085	Firelight (Firelight, #1)	Sophie Jordan	2010	
1664	61935107	Vanish	Sophie Jordan	2011	
1665	61935123	Hidden	Sophie Jordan	2012	
1666	61939897	Going Rogue: An American Life	Sarah Palin, Lynn Vincent, Dewey Whetsell	2009	
1667	61941026	We Are Water	Wally Lamb	2013	
1668	61944343	Big Nate: In a Class By Himself	Lincoln Peirce	2010	
1669	61944394	Big Nate on a Roll	Lincoln Peirce	2009	
1670	61950726	Orphan Train	Christina Baker Kline	2013	
1671	61957895	A Perfect Blood	Kim Harrison	2012	
1672	61957933	The Undead Pool	Kim Harrison	2014	
1673	61962783	Inside Out & Back Again	Thanhha Lai	2011	
1674	61969559	I Am Number Four	Pittacus Lore	2010	
1675	61974552	The Power of Six	Pittacus Lore	2011	
1676	61974587	The Rise of Nine	Pittacus Lore	2012	
1677	61974618	The Fall of Five	Pittacus Lore	2013	
1678	61976792	The Last Little Blue Envelope	Maureen Johnson	2011	
1679	61977969	Reamde	Neal Stephenson	2011	
1680	61985848	Paranormalcy	Kiersten White	2010	
1681	61985864	Supernaturally	Kiersten White	2011	
1682	61985880	Endlessly	Kiersten White	2012	
1683	61988243	La isla bajo el mar	Isabel Allende, Margaret Sayers Peden	2009	
1684	61988340	Lost in Shangri-la	Mitchell Zuckoff	2011	
1685	61990655	A Beautiful Dark 	Jocelyn Davies	2011	
1686	61992259	The One and Only Ivan	Katherine Applegate, Patricia Castelao	2012	
1687	61992704	Sh*t My Dad Says	Justin Halpern	2010	
1688	61995037	The Upside of Irrationality: The Unexpected Benefits of Defying Logic at Work and at Home	Dan Ariely	2010	
1689	61996165	Unearthly	Cynthia Hand	2011	
1690	61996181	Hallowed	Cynthia Hand	2012	
1691	61996203	Boundless	Cynthia Hand	2013	
1692	61997161	The Pioneer Woman: Black Heels to Tractor Wheels	Ree Drummond	2011	
1693	61997811	Harry Potter: Film Wizardry	Brian Sibley	2010	
1694	61998168	Every Thing On It	Shel Silverstein	2011	
1695	62001035	Entwined	Heather Dixon	2011	
1696	62002325	Angelfire	Courtney Allison Moulton	2011	
1697	62003941	Bloodlust	L.J. Smith, Kevin Williamson, Julie Plec	2011	
1698	62004018	Die for Me	Amy Plum	2011	
1699	62004042	Until I Die	Amy Plum	2012	
1700	62009494	Dodger	Terry Pratchett	2012	
1701	62011995	Starcrossed	Josephine Angelini	2011	
1702	62012010	Dreamless	Josephine Angelini	2012	
1703	62012037	Goddess	Josephine Angelini	2013	
1704	62014536	Requiem	Lauren Oliver	2013	
1705	62014552	Panic	Lauren Oliver	2014	
1706	62020560	The Miseducation of Cameron Post	Emily M. Danforth	2012	
1707	62021273	When Beauty Tamed the Beast	Eloisa James	2011	
1708	62024035	Divergent	Veronica Roth	2011	
1709	62026089	Variant	Robison Wells	2011	
1710	62026488	The Girl of Fire and Thorns	Rae Carson	2011	
1711	62026518	The Crown of Embers	Rae Carson	2012	
1712	62026542	The Bitter Kingdom	Rae Carson	2013	
1713	62041266	The Sisters Brothers	Patrick deWitt, Marcelo Barbão	2011	
1714	62048503	Eve	Anna Carey	2011	
1715	62048546	Once	Anna Carey	2012	
1716	62049801	State of Wonder	Ann Patchett	2011	
1717	62049879	A Week to Be Wicked	Tessa Dare	2012	
1718	62059939	The Selection	Kiera Cass	2012	
1719	62059963	The Elite	Kiera Cass	2013	
1720	62059998	The One	Kiera Cass	2014	
1721	62060554	Before I Go to Sleep	S.J. Watson	2011	
1722	62060759	Incarnate	Jodi Meadows	2012	
1723	62065246	The Round House	Louise Erdrich	2012	
1724	62067753	The Long Earth	Terry Pratchett, Stephen Baxter	2012	
1725	62068520	A Rogue by Any Other Name	Sarah MacLean	2012	
1726	62071041	Partials	Dan Wells	2012	
